Qty,Designator,Footprint,Comment,Description
2,"A0, A1",SOLDERJUMPERREFLOW_NOPASTE,,SOLDERJUMPER_REFLOW_NOPASTE - SMD Solder JUMPER
1,R5,RESISTOR2512,0.1/1% (PT2512FK-070R1L),2512 - Resistors
1,C1,CAP_CERAMIC0603,0.1ÂµF,603 - Ceramic Capacitors 
1,R7,RESISTOR_0603MP,10K,_0603MP - Resistors
1,R6,RESISTOR_4PACK,10K,RESPACK_4X0603 - Resistor Packs (4 resistors)
1,C2,CAP_CERAMIC_0805MP,10uF,_0805MP -  Ceramic Capacitors
1,D1,LED0603_NOOUTLINE,GREEN,CHIPLED_0603_NOOUTLINE - LED
1,U1,INA219,INA219BIDCNT,SOT23-8 - INA219 - I2C Current/Power Monitor
2,"J2, J3",M20-9990246,M20-9990246,HARWIN_M20-9990246
4,"U$1, U$6, U$7, U$8",MOUNTINGHOLE2.5,MOUNTINGHOLE2.5,MOUNTINGHOLE_2.5_PLATED - Mounting Hole
2,"CONN3, CONN4",STEMMA_I2C_QT,STEMMA_I2C_QT,JST_SH4
1,J1,TGS2611-C00,TGS2611-C00,"TO180P920X780-4P - Methane, Natural Gas sensor from Figaro"